Review_ID,Category,Product_Name,Price,Rating,Title,Content,Verified_Purchase
R2001,Electronics,Air freshner,$255.0,4,Excellent Product!,I bought this Air freshner for $255.0. I am very happy because the sleek design. Highly recommend.,False
R2002,Electronics,Air freshner,$255.0,4,Excellent Product!,I bought this Air freshner for $255.0. I am very happy because the amazing scent. Highly recommend.,False
R2003,Electronics,Air freshner,$255.0,2,Not worth it,I bought this Air freshner for $255.0. I was disappointed because it's weak scent. I wouldn't buy it again.,True
R2004,Electronics,Logitech M196 Mouse,$35.0,4,Excellent Product!,I bought this Logitech M196 Mouse for $35.0. I am very happy because the clicks are silent. Highly recommend.,True
R2005,Electronics,Logitech M196 Mouse,$35.0,5,Excellent Product!,I bought this Logitech M196 Mouse for $35.0. I am very happy because the smooth scrolling. Highly recommend.,False
R2006,Electronics,Logitech M196 Mouse,$35.0,2,Not worth it,I bought this Logitech M196 Mouse for $35.0. I was disappointed because it's plastic texture. I wouldn't buy it again.,True
R2007,Electronics,table lamp,$45.0,4,Excellent Product!,I bought this table lamp for $45.0. I am very happy because the modern aesthetic. Highly recommend.,False
R2008,Electronics,table lamp,$45.0,4,Excellent Product!,I bought this table lamp for $45.0. I am very happy because the modern aesthetic. Highly recommend.,False
R2009,Electronics,table lamp,$45.0,1,Not worth it,I bought this table lamp for $45.0. I was disappointed because it's short cable. I wouldn't buy it again.,False
R2010,Electronics,keyboard,$40.0,4,Excellent Product!,I bought this keyboard for $40.0. I am very happy because the no lag. Highly recommend.,True
R2011,Electronics,keyboard,$40.0,4,Excellent Product!,I bought this keyboard for $40.0. I am very happy because the durable build. Highly recommend.,False
R2012,Electronics,keyboard,$40.0,2,Not worth it,I bought this keyboard for $40.0. I was disappointed because it's very loud typing. I wouldn't buy it again.,False
R2013,Electronics,usb cable,$10.0,4,Excellent Product!,I bought this usb cable for $10.0. I am very happy because the tight fit. Highly recommend.,False
R2014,Electronics,usb cable,$10.0,4,Excellent Product!,I bought this usb cable for $10.0. I am very happy because the braided and tough. Highly recommend.,True
R2015,Electronics,usb cable,$10.0,1,Not worth it,I bought this usb cable for $10.0. I was disappointed because it's very short. I wouldn't buy it again.,False
R2016,Electronics,analog watch,$47.0,4,Excellent Product!,I bought this analog watch for $47.0. I am very happy because the comfortable strap. Highly recommend.,True
